File,sbj,Block_nr,Trial_nr,ItemID,word_1,word_2,word_3,picture,filename,marker,condition,constraint,wordorder,presentation_RT,accuracy,accuracy_comments,manual_RT
Exp_EEG2.txt,2,8,175,98,vulde,kom,met,slagroom,slagroom.png,9,structured,uc,VOP,840,1,,0.768114618
Exp_EEG2.txt,2,8,176,161,larve,rups,cocon,vlinder,butterfly.png,3,unstructured,c,NO,0,1,,0.706666667
Exp_EEG2.txt,2,9,177,82,krabde,neus,met,lepel,spoon02b.png,9,structured,uc,VOP,840,1,,0.779417867
Exp_EEG2.txt,2,9,178,126,handrem,pedaal,zadel,fiets,bike.png,3,unstructured,c,NO,590,1,,0.564656133
Exp_EEG2.txt,2,9,179,26,lapt,regels,aan,laars,boot02b.png,1,structured,c,VOP,610,1,,0.532630261
Exp_EEG2.txt,2,9,180,47,kampeerders,sliepen,in,tent,tent.png,1,structured,c,SVP,510,1,,0.466666667
Exp_EEG2.txt,2,9,181,110,arbeiders,zaten,in,zon,sun.png,9,structured,uc,SVP,840,1,,0.726669371
Exp_EEG2.txt,2,9,182,22,priester,preekt,in,kerk,church.png,1,structured,c,SVP,810,1,,0.786666667
Exp_EEG2.txt,2,9,183,166,kogel,ufo,ijsblokje,aardbei,strawberry.png,7,unstructured,uc,NO,680,1,,0.666666667
Exp_EEG2.txt,2,9,184,28,kreeg,tand,door,lip,lip.png,1,structured,c,VOP,0,0,mond,0.72
Exp_EEG2.txt,2,9,185,123,toetsenbord,programmeur,software,computer,computer.png,3,unstructured,c,NO,940,1,,0.613333333
Exp_EEG2.txt,2,9,186,31,analyseert,bloedcellen,onder,microscoop,microscope.png,1,structured,c,VOP,720,1,,0.68
Exp_EEG2.txt,2,9,187,109,scheurde,verpakking,van,zeep,soap03b.png,9,structured,uc,VOP,670,1,,0.626824004
Exp_EEG2.txt,2,9,188,70,vond,pluisje,in,glas,glass.png,9,structured,uc,VOP,820,1,,0.8
Exp_EEG2.txt,2,9,189,155,salade,komkommer,sla,tomaat,tomato01.png,3,unstructured,c,NO,0,1,,0.739856495
Exp_EEG2.txt,2,9,190,46,bewaart,lippenstift,in,tas,tas.png,1,structured,c,VOP,720,1,,0.683340249
Exp_EEG2.txt,2,9,191,73,man,zat,bij,hengel,fishingrod.png,9,structured,uc,SVP,0,1,,0.754927494
